"ï..Numero"	"mpg"	"displacement"	"horsepower"	"weight"	"acceleration"	"origin"	"groupe"
109	26	97	75	2265	18	"japanese"	"2"
110	32	108	75	2265	15	"japanese"	"2"
111	24	113	95	2278	16	"japanese"	"2"
112	20	97	88	2279	19	"japanese"	"2"
113	28	97	92	2288	17	"japanese"	"2"
114	32	107	72	2290	17	"japanese"	"2"
115	32	135	84	2295	12	"american"	"2"
116	26	122	96	2300	16	"american"	"2"
117	26	97	78	2300	15	"european"	"2"
118	27	119	97	2300	15	"japanese"	"2"
119	19	122	85	2310	19	"american"	"2"
120	19	70	97	2330	14	"japanese"	"2"
121	43	90	48	2335	24	"european"	"2"
122	32	108	75	2350	17	"japanese"	"2"
123	36	135	84	2370	13	"american"	"2"
124	24	113	95	2372	15	"japanese"	"2"
125	25	104	95	2375	18	"european"	"2"
126	22	108	94	2379	17	"japanese"	"2"
127	30	98	65	2380	21	"american"	"2"
128	30	135	84	2385	13	"american"	"2"
129	26	108	93	2391	16	"japanese"	"2"
130	22	122	86	2395	16	"american"	"2"
131	34	112	88	2395	18	"american"	"2"
132	21	140	72	2401	20	"american"	"2"
133	24	119	97	2405	15	"japanese"	"2"
134	22	140	72	2408	19	"american"	"2"
135	20	140	90	2408	20	"american"	"2"
136	24	70	100	2420	13	"japanese"	"2"
137	24	107	90	2430	15	"european"	"2"
138	37	119	92	2434	15	"japanese"	"2"
139	26	122	80	2451	17	"american"	"2"
140	28	107	86	2464	16	"european"	"2"
141	21	155	107	2472	14	"american"	"2"
142	24	120	97	2489	15	"japanese"	"2"
143	27	135	84	2490	16	"american"	"2"
144	35	122	88	2500	15	"european"	"2"
145	23	120	97	2506	15	"japanese"	"2"
146	22	121	76	2511	18	"european"	"2"
147	21	134	95	2515	15	"japanese"	"2"
148	29	135	84	2525	16	"american"	"2"
149	25	140	75	2542	17	"american"	"2"
150	31	120	75	2542	18	"japanese"	"2"
151	24	119	97	2545	17	"japanese"	"2"
152	34	151	90	2556	13	"american"	"2"
153	28	134	95	2560	14	"japanese"	"2"
154	27	140	72	2565	14	"american"	"2"
155	25	140	92	2572	15	"american"	"2"
156	31	112	85	2575	16	"american"	"2"
157	20	114	91	2582	14	"european"	"2"
158	26	156	92	2585	15	"american"	"2"
159	21	200	85	2587	16	"american"	"2"
160	23	140	78	2592	19	"american"	"2"
161	29	173	115	2595	11	"american"	"2"
162	22	121	110	2600	13	"european"	"2"
163	28	112	88	2605	20	"american"	"2"
164	33	119	100	2615	15	"japanese"	"2"
165	26	156	92	2620	14	"american"	"2"
166	28	120	79	2625	19	"american"	"2"
167	19	232	100	2634	13	"american"	"2"
168	27	151	84	2635	16	"american"	"2"
169	32	120	74	2635	18	"japanese"	"2"
170	23	140	83	2639	17	"american"	"2"
171	27	112	88	2640	19	"american"	"2"
172	21	199	90	2648	15	"american"	"2"
173	24	121	110	2660	14	"european"	"2"
174	32	144	96	2665	14	"japanese"	"2"
175	27	121	80	2670	15	"american"	"2"
176	28	151	90	2670	16	"american"	"2"
177	25	121	115	2671	14	"european"	"2"
178	25	110	87	2672	18	"european"	"2"
179	28	151	90	2678	17	"american"	"2"
180	23	115	95	2694	15	"european"	"2"
181	27	173	115	2700	13	"american"	"2"
182	24	134	96	2702	14	"japanese"	"2"
183	30	134	90	2711	16	"japanese"	"2"
184	25	140	88	2720	15	"american"	"2"
185	31	119	82	2720	19	"american"	"2"
186	22	80	110	2720	14	"japanese"	"2"
187	24	173	110	2725	13	"american"	"2"
188	27	151	90	2735	18	"american"	"2"
189	25	151	88	2740	16	"american"	"2"
190	23	156	105	2745	17	"american"	"2"
191	26	140	89	2755	16	"american"	"2"
192	18	199	97	2774	16	"american"	"2"
193	18	232	100	2789	15	"american"	"2"
194	27	140	86	2790	16	"american"	"2"
195	22	121	115	2795	16	"european"	"2"
196	28	156	105	2800	14	"american"	"2"
197	20	156	122	2807	14	"japanese"	"2"
198	22	146	97	2815	15	"japanese"	"2"
199	20	131	103	2830	16	"european"	"2"
200	22	198	95	2833	16	"american"	"2"
201	22	232	112	2835	15	"american"	"2"
202	24	151	85	2855	18	"american"	"2"
203	24	140	92	2865	16	"american"	"2"
204	19	121	112	2868	16	"european"	"2"
205	26	140	88	2870	18	"american"	"2"
206	22	140	88	2890	17	"american"	"2"
207	25	168	116	2900	13	"japanese"	"2"
208	19	232	100	2901	16	"american"	"2"
209	23	198	95	2904	16	"american"	"2"
210	33	168	132	2910	11	"japanese"	"2"
211	20	232	100	2914	16	"american"	"2"
212	19	156	108	2930	16	"japanese"	"2"
213	24	146	120	2930	14	"japanese"	"2"
214	18	121	112	2933	15	"european"	"2"
215	18	232	100	2945	16	"american"	"2"
216	25	181	110	2945	16	"american"	"2"
217	22	121	98	2945	15	"european"	"2"
218	27	151	90	2950	17	"american"	"2"
219	36	121	67	2950	20	"european"	"2"
220	23	120	88	2957	17	"european"	"2"
221	18	258	110	2962	14	"american"	"2"
222	20	200	85	2965	16	"american"	"2"
223	21	120	87	2979	20	"european"	"2"
224	18	171	97	2984	15	"american"	"2"
225	20	200	85	2990	18	"american"	"2"
226	24	151	90	3003	20	"american"	"2"
227	24	200	81	3012	18	"american"	"2"
228	38	262	85	3015	17	"american"	"2"
229	18	250	88	3021	17	"american"	"2"
230	21	231	110	3039	15	"american"	"2"
231	20	200	88	3060	17	"american"	"2"
232	21	200	85	3070	17	"american"	"2"
233	23	232	90	3085	18	"american"	"2"
234	14	455	225	3086	10	"american"	"1"
235	20	198	95	3102	17	"american"	"2"
236	18	225	105	3121	17	"american"	"2"
237	18	250	88	3139	15	"american"	"2"
238	17	163	125	3140	14	"european"	"2"
239	20	130	102	3150	16	"european"	"2"
240	21	200	95	3155	18	"american"	"2"
241	15	250	72	3158	20	"american"	"2"
242	31	145	76	3160	20	"european"	"2"
243	13	302	129	3169	12	"american"	"1"
244	27	141	71	3190	25	"european"	"2"
245	18	258	95	3193	18	"american"	"2"
246	18	302	139	3205	11	"american"	"1"
247	19	232	90	3210	17	"american"	"2"
248	19	232	90	3211	17	"american"	"2"
249	20	262	110	3221	14	"american"	"2"
250	28	141	80	3230	20	"european"	"2"
251	22	225	100	3233	15	"american"	"2"
252	22	231	115	3245	15	"american"	"2"
253	30	146	67	3250	22	"european"	"2"
254	19	225	95	3264	16	"american"	"2"
255	20	232	90	3265	18	"american"	"2"
256	19	120	88	3270	22	"european"	"2"
257	16	250	100	3278	18	"american"	"2"
258	19	250	100	3282	15	"american"	"2"
259	18	232	100	3288	16	"american"	"2"
260	19	250	88	3302	16	"american"	"2"
261	17	250	100	3329	16	"american"	"2"
262	15	250	100	3336	17	"american"	"2"
263	22	250	105	3353	15	"american"	"2"
264	21	225	110	3360	17	"american"	"2"
265	20	260	110	3365	16	"american"	"2"
266	21	231	105	3380	16	"american"	"2"
267	19	225	90	3381	19	"american"	"2"
268	15	318	150	3399	11	"american"	"1"
269	18	258	120	3410	15	"american"	"1"
270	16	163	133	3410	16	"european"	"2"
271	22	231	110	3415	16	"american"	"2"
272	24	260	90	3420	22	"american"	"2"
273	21	231	105	3425	17	"american"	"2"
274	19	305	145	3425	13	"american"	"1"
275	21	225	100	3430	17	"american"	"2"
276	15	250	72	3432	21	"american"	"2"
277	16	304	150	3433	12	"american"	"1"
278	18	318	150	3436	11	"american"	"1"
279	16	225	105	3439	16	"american"	"2"
280	18	231	165	3445	13	"american"	"1"
281	17	302	140	3449	11	"american"	"1"
282	18	250	105	3459	16	"american"	"2"
283	18	225	85	3465	17	"american"	"2"
284	18	307	130	3504	12	"american"	"1"
285	18	250	110	3520	16	"american"	"2"
286	19	250	98	3525	19	"american"	"2"
287	25	183	77	3530	20	"european"	"2"
288	19	231	105	3535	19	"american"	"2"
289	15	383	170	3563	10	"american"	"1"
290	20	302	139	3570	13	"american"	"1"
291	18	250	78	3574	21	"american"	"2"
292	19	267	125	3605	15	"american"	"1"
293	14	340	160	3609	8	"american"	"1"
294	18	225	105	3613	17	"american"	"2"
295	19	225	110	3620	19	"american"	"2"
296	19	225	100	3630	18	"american"	"2"
297	16	258	110	3632	18	"american"	"2"
298	19	250	110	3645	16	"american"	"2"
299	20	225	100	3651	18	"american"	"2"
300	11	350	180	3664	11	"american"	"1"
301	17	304	150	3672	12	"american"	"1"
302	14	304	150	3672	12	"american"	"1"
303	15	350	165	3693	12	"american"	"1"
304	18	302	129	3725	13	"american"	"1"
305	27	350	105	3725	19	"american"	"2"
306	15	258	110	3730	19	"american"	"2"
307	19	318	140	3735	13	"american"	"1"
308	13	318	150	3755	14	"american"	"1"
309	15	400	150	3761	10	"american"	"1"
310	15	318	150	3777	13	"american"	"1"
311	16	250	100	3781	17	"american"	"2"
312	18	225	95	3785	19	"american"	"2"
313	17	168	120	3820	17	"european"	"2"
314	13	360	175	3821	11	"american"	"1"
315	18	318	135	3830	15	"american"	"1"
316	17	305	130	3840	15	"american"	"1"
317	15	390	190	3850	9	"american"	"1"
318	13	302	130	3870	15	"american"	"1"
319	18	305	145	3880	13	"american"	"1"
320	15	304	150	3892	13	"american"	"1"
321	16	250	105	3897	19	"american"	"2"
322	23	350	125	3900	17	"american"	"1"
323	17	231	110	3907	21	"american"	"2"
324	13	318	150	3940	13	"american"	"1"
325	19	360	150	3940	13	"american"	"1"
326	17	351	138	3955	13	"american"	"1"
327	16	304	120	3962	14	"american"	"1"
328	13	350	145	3988	13	"american"	"1"
329	14	302	137	4042	15	"american"	"1"
330	16	351	142	4054	14	"american"	"1"
331	13	350	145	4055	12	"american"	"1"
332	17	260	110	4060	19	"american"	"2"
333	14	318	150	4077	14	"american"	"1"
334	18	318	140	4080	14	"american"	"1"
335	15	350	145	4082	13	"american"	"1"
336	14	318	150	4096	13	"american"	"1"
337	13	307	130	4098	14	"american"	"1"
338	13	350	175	4100	13	"american"	"1"
339	14	351	153	4129	13	"american"	"1"
340	15	318	150	4135	14	"american"	"1"
341	16	318	145	4140	14	"american"	"1"
342	16	302	140	4141	14	"american"	"1"
343	14	351	153	4154	14	"american"	"1"
344	16	350	170	4165	11	"american"	"1"
345	16	318	150	4190	13	"american"	"1"
346	14	350	165	4209	12	"american"	"1"
347	18	305	140	4215	13	"american"	"1"
348	15	351	152	4215	13	"american"	"1"
349	16	400	180	4220	11	"american"	"1"
350	14	318	150	4237	15	"american"	"1"
351	14	304	150	4257	16	"american"	"1"
352	13	350	165	4274	12	"american"	"1"
353	16	400	230	4278	10	"american"	"1"
354	13	302	140	4294	16	"american"	"1"
355	15	302	130	4295	15	"american"	"1"
356	14	440	215	4312	9	"american"	"1"
357	16	400	190	4325	12	"american"	"1"
358	16	351	149	4335	15	"american"	"1"
359	15	429	198	4341	10	"american"	"1"
360	14	454	220	4354	9	"american"	"1"
361	17	350	155	4360	15	"american"	"1"
362	13	351	158	4363	13	"american"	"1"
363	10	307	200	4376	15	"american"	"1"
364	17	350	180	4380	12	"american"	"1"
365	11	318	210	4382	14	"american"	"1"
366	14	400	175	4385	12	"american"	"1"
367	13	400	190	4422	13	"american"	"1"
368	14	455	225	4425	10	"american"	"1"
369	15	350	145	4440	14	"american"	"1"
370	12	350	160	4456	14	"american"	"1"
371	14	318	150	4457	14	"american"	"1"
372	14	400	175	4464	12	"american"	"1"
373	13	400	150	4464	12	"american"	"1"
374	16	318	150	4498	15	"american"	"1"
375	12	350	180	4499	13	"american"	"1"
376	13	350	155	4502	14	"american"	"1"
377	10	360	215	4615	14	"american"	"1"
378	11	429	208	4633	11	"american"	"1"
379	14	302	140	4638	16	"american"	"1"
380	13	360	170	4654	13	"american"	"1"
381	14	351	148	4657	14	"american"	"1"
382	16	400	170	4668	12	"american"	"1"
383	13	350	150	4699	15	"american"	"1"
384	9	304	193	4732	19	"american"	"1"
385	13	440	215	4735	11	"american"	"1"
386	13	400	170	4746	12	"american"	"1"
387	12	400	167	4906	13	"american"	"1"
388	12	455	225	4951	11	"american"	"1"
389	12	429	198	4952	12	"american"	"1"
390	12	383	180	4955	12	"american"	"1"
391	11	400	150	4997	14	"american"	"1"
392	13	400	175	5140	12	"american"	"1"
